City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Bredasdorp,ZA,58.32,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
7,Orcopampa,PE,52.65,overcast clouds,-15.2661,-72.3417,Happy Wasi
10,Ahipara,NZ,67.23,clear sky,-35.1667,173.1667,Ahipara Holiday Park
14,Antofagasta,CL,63.68,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
16,Te Anau,NZ,61.03,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
18,Jamestown,US,52.92,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
20,Saint-Philippe,RE,72.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,New Norfolk,AU,56.75,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
27,Pacific Grove,US,70.61,clear sky,36.6177,-121.9166,Lovers Point Inn
29,Punta Arenas,CL,50.11,light rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
36,Hermanus,ZA,57.9,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Arraial Do Cabo,BR,73.26,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
41,Jardim,BR,72.55,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
45,Mataura,NZ,62.82,scattered clouds,-46.1927,168.8643,Ellie's Villa
47,Diamantino,BR,72.41,overcast clouds,-14.4086,-56.4461,Hotel Delta
49,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Murray Bridge,AU,59.49,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
61,Laguna,US,65.46,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
62,Wanning,CN,74.28,scattered clouds,18.8003,110.3967,Paradise Hotel
64,Monrovia,LR,74.97,moderate rain,6.3005,-10.7969,Sunset Inn
66,East London,ZA,64.36,light rain,-33.0153,27.9116,Tu Casa
69,Rio Grande,BR,64.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
74,Bluff,NZ,57.02,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
76,Cidreira,BR,64.92,overcast clouds,-30.1811,-50.2056,Hotel Castelo
77,Tezu,IN,60.76,scattered clouds,27.9167,96.1667,Circuit House
79,Roma,US,51.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
81,Hirado,JP,56.55,clear sky,33.3597,129.5531,Samson Hotel
83,Llata,PE,57.97,overcast clouds,-9.4167,-76.7833,Hospedaje Familia Collazos Espinoza
90,Cape Town,ZA,60.35,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
92,Hasaki,JP,52.2,moderate rain,35.7333,140.8333,Hotel Sunrise Choshi
95,Yabelo,ET,61.32,light rain,4.8833,38.0833,Asnakech W/michael
97,Port Alfred,ZA,63.61,overcast clouds,-33.5906,26.891,The Halyards Hotel
101,Port Elizabeth,ZA,62.1,light rain,-33.918,25.5701,39 On Nile Guest House
102,Newport,GB,58.17,overcast clouds,51.5877,-2.9984,ibis budget Newport
105,Coutances,FR,55.49,broken clouds,49.05,-1.4333,Hotel La Pocatiere
106,Mitu,CO,74.62,broken clouds,1.1983,-70.1733,
108,Alice Springs,AU,69.35,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
111,Carnarvon,AU,62.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
113,San Quintin,MX,70.25,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
114,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
119,Ponta Do Sol,PT,68.63,broken clouds,32.6667,-17.1,Hotel do Campo
122,Ormond Beach,US,58.06,overcast clouds,29.2858,-81.0559,Makai Beach Lodge
124,Lagoa,PT,68.18,overcast clouds,39.05,-27.9833,Casa Das Faias
126,Miraflores,MX,72.03,overcast clouds,19.2167,-98.8083,Hotel Mansión
128,Jalu,LY,70.27,clear sky,29.0331,21.5482,صاحبة الفخامة
130,Corinto,GR,68.45,overcast clouds,37.9407,22.9573,Ephira Hotel
131,Hobart,AU,55.26,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
134,Castro,BR,65.79,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
137,Minas,UY,61.27,scattered clouds,-34.3759,-55.2377,Hotel Minas
138,Codrington,AU,54.36,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
142,Beloha,MG,67.15,few clouds,-25.1667,45.05,
143,Necochea,AR,55.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
146,Along,IN,54.57,few clouds,28.1667,94.7667,Hotel West
148,Kinkala,CG,71.6,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
152,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
154,Andilamena,MG,63.95,overcast clouds,-17.0167,48.5833,Police men home Andilamina
156,Lebu,CL,54.81,few clouds,-37.6167,-73.65,Hostal Las Lilas
159,Alto Araguaia,BR,71.04,heavy intensity rain,-17.3147,-53.2153,Araguaia Palace Hotel
160,Avera,US,52.48,overcast clouds,33.194,-82.5271,
162,Meulaboh,ID,74.52,heavy intensity rain,4.1363,96.1285,Kost Pria
163,Patuli,IN,66.45,clear sky,23.55,88.25,Abhirup garai
165,Chuy,UY,58.51,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
167,Kaitangata,NZ,62.92,few clouds,-46.2817,169.8464,Kaitangata Motor Camp
168,Bethel,US,50.85,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
169,Bhopalwala,PK,60.69,smoke,32.4289,74.3633,Asgher Mughal
170,Forio,IT,64.42,overcast clouds,40.7342,13.8646,Hotel Terme Providence
171,Maxixe,MZ,73.22,broken clouds,-23.8597,35.3472,Oceano
172,Karoi,ZW,73.11,clear sky,-16.8099,29.6925,Chikangwe Guest houses
174,Le Port,RE,72.61,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
177,Constitucion,CL,57.11,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
179,Portland,US,54.45,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
180,Flekkefjord,NO,52.05,overcast clouds,58.2971,6.6607,Maritim Fjordhotel
181,Yulara,AU,67.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
182,Lebowakgomo,ZA,70.7,overcast clouds,-24.2,29.5,Chuene Resort
183,Coquimbo,CL,60.53,few clouds,-29.9533,-71.3436,Punto de encuentro
189,Toowoomba,AU,66.94,broken clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
192,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
194,Hope,US,65.98,clear sky,33.6671,-93.5916,Best Western Hope
195,Sao Joao Da Barra,BR,73.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
196,Hamilton,US,57.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
197,Zambezi,ZM,71.71,few clouds,-13.5432,23.1047,Royal Kutachika Lodge
198,State College,US,52.74,clear sky,40.7934,-77.86,Hampton Inn State College
199,Wilmington,US,60.71,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
207,Guican,CO,53.71,overcast clouds,6.4618,-72.4113,Hotel Brisas del Nevado
209,Uyuni,BO,60.39,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
210,Numaligarh,IN,61.07,broken clouds,26.6333,93.75,Mumai Hotel
211,Gualeguaychu,AR,72.03,broken clouds,-33.0094,-58.5172,Hotel Los Angeles
