,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,44.26,81,75,10.36,light intensity drizzle
1,Javanrud,IR,34.7961,46.5172,45.09,57,0,5.48,clear sky
2,Bredasdorp,ZA,-34.5322,20.0403,58.32,67,57,2.3,broken clouds
3,Piacabucu,BR,-10.4056,-36.4344,79.57,82,96,11.92,heavy intensity rain
4,Barrow,US,71.2906,-156.7887,12.22,79,40,12.66,scattered clouds
5,Cockburn Town,TC,21.4612,-71.1419,84.16,61,40,13.8,scattered clouds
6,Busselton,AU,-33.65,115.3333,44.1,82,8,8.23,clear sky
7,Orcopampa,PE,-15.2661,-72.3417,52.65,39,86,11.97,overcast clouds
8,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,10,0,16.11,clear sky
9,Oussouye,SN,12.485,-16.5469,82.58,70,6,5.66,clear sky
10,Ahipara,NZ,-35.1667,173.1667,67.23,66,2,1.92,clear sky
11,Butaritari,KI,3.0707,172.7902,82.02,72,100,16.78,overcast clouds
12,Vaini,TO,-21.2,-175.2,78.96,89,75,9.22,broken clouds
13,Inirida,CO,3.8653,-67.9239,80.37,82,84,2.42,broken clouds
14,Antofagasta,CL,-23.65,-70.4,63.68,74,26,9.62,scattered clouds
15,Brae,GB,60.3964,-1.353,48.11,85,100,29.1,overcast clouds
16,Te Anau,NZ,-45.4167,167.7167,61.03,51,80,1.7,broken clouds
17,Touros,BR,-5.1989,-35.4608,83.3,80,60,12.28,broken clouds
18,Jamestown,US,42.097,-79.2353,52.92,40,1,4.61,clear sky
19,Rikitea,PF,-23.1203,-134.9692,75.67,81,100,16.22,overcast clouds
20,Saint-Philippe,RE,-21.3585,55.7679,72.21,84,38,8.77,scattered clouds
21,Severnoye,RU,56.3491,78.3619,32.0,85,100,16.17,overcast clouds
22,Yellowknife,CA,62.456,-114.3525,33.42,87,90,10.36,overcast clouds
23,Sao Filipe,CV,14.8961,-24.4956,79.05,73,92,11.16,overcast clouds
24,Beringovskiy,RU,63.05,179.3167,14.22,92,84,6.91,broken clouds
25,New Norfolk,AU,-42.7826,147.0587,56.75,59,50,3.29,scattered clouds
26,Chokurdakh,RU,70.6333,147.9167,-1.28,95,99,8.52,overcast clouds
27,Pacific Grove,US,36.6177,-121.9166,70.61,75,1,1.99,clear sky
28,Ucluelet,CA,48.9329,-125.5528,43.11,92,100,3.13,overcast clouds
29,Punta Arenas,CL,-53.15,-70.9167,50.11,87,90,10.36,light rain
30,Puerto Ayora,EC,-0.7393,-90.3518,76.96,78,56,10.38,broken clouds
31,Bandarbeyla,SO,9.4942,50.8122,76.17,75,32,10.02,scattered clouds
32,Avarua,CK,-21.2078,-159.775,77.05,61,40,10.36,light rain
33,Kamenka,RU,51.3223,42.7678,46.78,81,95,8.75,overcast clouds
34,Bengkulu,ID,-3.8004,102.2655,75.7,91,100,14.25,overcast clouds
35,Georgetown,MY,5.4112,100.3354,80.53,87,20,5.01,few clouds
36,Hermanus,ZA,-34.4187,19.2345,57.9,73,20,5.06,few clouds
37,Severo-Kurilsk,RU,50.6789,156.125,35.92,77,12,6.96,few clouds
38,Clyde River,CA,70.4692,-68.5914,16.03,86,75,8.05,broken clouds
39,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,64,75,9.22,broken clouds
40,Mount Isa,AU,-20.7333,139.5,80.37,57,83,5.75,broken clouds
41,Jardim,BR,-21.4803,-56.1381,72.55,79,100,7.29,overcast clouds
42,Conakry,GN,9.538,-13.6773,82.47,83,40,6.91,light rain
43,Dhidhdhoo,MV,6.8833,73.1,81.46,79,82,16.35,broken clouds
44,Niquelandia,BR,-14.4739,-48.4597,76.6,75,100,2.64,overcast clouds
45,Mataura,NZ,-46.1927,168.8643,62.82,59,49,0.54,scattered clouds
46,Rudnya,RU,54.947,31.0934,44.73,82,100,16.91,moderate rain
47,Diamantino,BR,-14.4086,-56.4461,72.41,95,100,4.59,overcast clouds
48,Amga,RU,60.8953,131.9608,0.63,100,97,3.62,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,74.25,94,40,4.61,scattered clouds
50,Raudeberg,NO,61.9875,5.1352,41.86,77,100,3.0,light rain
51,Cherskiy,RU,68.75,161.3,15.89,79,100,14.65,overcast clouds
52,Taoudenni,ML,22.6783,-3.9836,78.76,17,1,6.71,clear sky
53,Murray Bridge,AU,-35.1167,139.2667,59.49,65,90,8.77,overcast clouds
54,Sabang,ID,5.8933,95.3214,79.7,78,100,7.7,overcast clouds
55,Norman Wells,CA,65.282,-126.8329,26.64,100,75,5.75,broken clouds
56,Maltahohe,NA,-24.8333,16.9833,68.68,12,22,9.01,few clouds
57,Urumqi,CN,43.801,87.6005,14.95,73,0,4.47,clear sky
58,Hilo,US,19.7297,-155.09,81.25,70,75,8.05,broken clouds
59,Thompson,CA,55.7435,-97.8558,30.36,93,90,3.44,light snow
60,Aviles,ES,43.5547,-5.9248,48.76,85,20,2.3,few clouds
61,Laguna,US,38.421,-121.4238,65.46,73,90,1.99,overcast clouds
62,Wanning,CN,18.8003,110.3967,74.28,86,31,1.83,scattered clouds
63,Upernavik,GL,72.7868,-56.1549,14.54,84,68,10.51,broken clouds
64,Monrovia,LR,6.3005,-10.7969,74.97,83,93,6.87,moderate rain
65,Sarakhs,IR,36.5449,61.1577,38.14,21,95,0.78,overcast clouds
66,East London,ZA,-33.0153,27.9116,64.36,89,100,5.55,light rain
67,Biu,NG,10.6129,12.1946,76.23,31,49,4.92,scattered clouds
68,Daru,PG,-9.0763,143.2092,82.74,78,46,5.68,scattered clouds
69,Rio Grande,BR,-32.035,-52.0986,64.51,66,41,11.99,scattered clouds
70,Olafsvik,IS,64.8945,-23.7142,34.66,78,100,14.5,light snow
71,Vilyuysk,RU,63.7553,121.6247,-7.08,100,99,3.58,overcast clouds
72,Talnakh,RU,69.4865,88.3972,17.56,93,100,22.57,light snow
73,Esperance,AU,-33.8667,121.9,46.24,75,10,4.41,clear sky
74,Bluff,NZ,-46.6,168.3333,57.02,78,66,3.6,broken clouds
75,Gwadar,PK,25.1216,62.3254,77.0,61,0,4.99,clear sky
76,Cidreira,BR,-30.1811,-50.2056,64.92,80,100,14.7,overcast clouds
77,Tezu,IN,27.9167,96.1667,60.76,36,48,4.59,scattered clouds
78,Albany,US,42.6001,-73.9662,48.07,61,0,3.56,clear sky
79,Roma,US,43.2128,-75.4557,51.94,47,1,5.75,clear sky
80,Kapaa,US,22.0752,-159.319,84.18,74,75,1.99,broken clouds
81,Hirado,JP,33.3597,129.5531,56.55,66,0,20.18,clear sky
82,Torbay,CA,47.6666,-52.7314,41.27,78,40,16.11,scattered clouds
83,Llata,PE,-9.4167,-76.7833,57.97,83,96,5.7,overcast clouds
84,Leua,SK,48.2156,18.6071,44.49,79,98,2.8,overcast clouds
85,Saskylakh,RU,71.9167,114.0833,4.55,93,90,9.19,overcast clouds
86,Whitehorse,CA,60.7161,-135.0538,36.01,86,75,11.01,broken clouds
87,Yar-Sale,RU,66.8333,70.8333,34.34,93,100,18.63,overcast clouds
88,Kargasok,RU,59.0556,80.8572,33.31,89,100,18.68,overcast clouds
89,Tual,ID,-5.6667,132.75,83.61,72,85,1.86,overcast clouds
90,Cape Town,ZA,-33.9258,18.4232,60.35,70,9,1.99,clear sky
91,Arak,IR,34.0917,49.6892,41.04,87,100,3.6,overcast clouds
92,Hasaki,JP,35.7333,140.8333,52.2,69,100,7.7,moderate rain
93,Labuhan,ID,-6.8844,112.2051,81.36,73,95,1.07,overcast clouds
94,Praia,CV,14.9215,-23.5087,77.54,83,20,14.97,few clouds
95,Yabelo,ET,4.8833,38.0833,61.32,77,98,3.24,light rain
96,Atuona,PF,-9.8,-139.0333,78.31,70,35,19.71,scattered clouds
97,Port Alfred,ZA,-33.5906,26.891,63.61,86,100,5.93,overcast clouds
98,San Patricio,US,28.017,-97.5169,75.61,40,0,5.28,clear sky
99,Sept-Iles,CA,50.2001,-66.3821,46.83,66,75,7.0,broken clouds
100,Aksha,RU,50.2814,113.2867,11.21,57,1,4.43,clear sky
101,Port Elizabeth,ZA,-33.918,25.5701,62.1,88,90,8.05,light rain
102,Newport,GB,51.5877,-2.9984,58.17,89,100,16.02,overcast clouds
103,Qaanaaq,GL,77.484,-69.3632,6.87,72,99,7.67,overcast clouds
104,Darovskoy,RU,58.77,47.9564,41.83,76,89,12.33,light rain
105,Coutances,FR,49.05,-1.4333,55.49,84,74,15.19,broken clouds
106,Mitu,CO,1.1983,-70.1733,74.62,95,82,0.83,broken clouds
