City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Broome,US,2021-11-06 03:18:22,42.2506,-75.833,35.01,72,8,3.0
1,Byron Bay,AU,2021-11-06 03:18:23,-28.65,153.6167,75.31,80,80,9.4
2,Sibolga,ID,2021-11-06 03:17:07,1.7427,98.7792,76.8,92,100,3.49
3,Nikolskoye,RU,2021-11-06 03:18:23,59.7035,30.7861,44.87,82,100,10.11
4,Ulaangom,MN,2021-11-06 03:18:24,49.9811,92.0667,14.72,63,80,1.61
5,Tynda,RU,2021-11-06 03:18:24,55.1667,124.7167,11.84,51,23,10.09
6,Yellowknife,CA,2021-11-06 03:18:25,62.456,-114.3525,29.41,100,90,9.22
7,Ushuaia,AR,2021-11-06 03:17:20,-54.8,-68.3,51.46,50,40,11.5
8,Cape Town,ZA,2021-11-06 03:14:02,-33.9258,18.4232,56.12,83,13,6.38
9,Gravdal,NO,2021-11-06 03:18:26,68.1214,13.5031,42.28,77,99,22.32
10,Sungaipenuh,ID,2021-11-06 03:18:26,-2.0833,101.3833,73.81,75,99,3.44
11,Saint-Paul,RE,2021-11-06 03:18:27,-21.0096,55.2707,79.0,81,0,1.45
12,Avarua,CK,2021-11-06 03:18:28,-21.2078,-159.775,77.05,69,91,9.22
13,Veisiejai,LT,2021-11-06 03:18:28,54.1,23.7,44.69,76,100,14.63
14,Fortuna,US,2021-11-06 03:18:29,40.5982,-124.1573,53.42,74,1,4.0
15,Atuona,PF,2021-11-06 03:18:30,-9.8,-139.0333,78.35,73,1,16.98
16,Arlit,NE,2021-11-06 03:18:30,18.7369,7.3853,78.06,16,4,5.93
17,Hobart,AU,2021-11-06 03:18:31,-42.8794,147.3294,78.03,49,75,4.0
18,Wanaka,NZ,2021-11-06 03:18:31,-44.7,169.15,69.82,38,88,3.85
19,Fairbanks,US,2021-11-06 03:18:32,64.8378,-147.7164,24.76,86,90,0.0
20,Mataura,NZ,2021-11-06 03:18:32,-46.1927,168.8643,67.48,33,100,2.62
21,Beringovskiy,RU,2021-11-06 03:18:33,63.05,179.3167,1.9,84,5,4.47
